id,type
Mario Gomez Garcia,1
SV Unlingen Jugend,2
FV Bad Saulgau Jugend,2
SSV Ulm 1846 U17,2
VfB Stuttgart U17,2
VfB Stuttgart U19,2
VfB Stuttgart II,2
VfB Stuttgart,2
FC Bayern Muenchen,2
AC Florenz,2
VfL Wolfsburg,2
VfB Stuttgart,2
