id,type
Thomas Mueller,1
TSV Paehl Jugend,2
FC Bayern Muenchen Jugend,2
FC Bayern Muenchen U17,2
FC Bayern Muenchen U19,2
FC Bayern Muenchen II,2
FC Bayern Muenchen,2
